"","pac_name_affiliate","country","parent","total","dems","repubs","year"
"341","Bayer Corp","Germany","Bayer AG",250500,59000,191500,2004
"342","BNFL Inc (BNFL PLC)","UK","British Nuclear Fuels PLC",23500,1000,22500,2004
"343","BOC Group","UK","BOC Group",0,0,0,2004
"344","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",19025,4500,14525,2004
"345","BP North America","UK","BP PLC",219999,83500,136499,2004
"346","Bridgestone Americas","Japan","Bridgestone Corp",107250,34000,73250,2004
"347","Budd Co","Germany","ThyssenKrupp AG",15827,3000,12827,2004
"348","Burson-Marsteller (WPP Group)","UK","WPP Group",78250,29500,46250,2004
"349","Business Men's Assurance Co","Italy","Assicurazioni Generali",4065,0,4065,2004
"350","Buzzi Unicem USA","Italy","Buzzi Unicem SpA",5500,0,5500,2004
"351","BWX Technologies (McDermott International)","Panama","McDermott International",75499,15500,59999,2004
"352","California Portland Cement Co","Japan","Taiheiyo Cement Co",18650,2150,16500,2004
"353","Case New Holland","Italy","Fiat SPA",52000,5500,46500,2004
"354","CGI-AMS","Canada","CGI Group",0,0,0,2004
"355","CGU Corp","UK","CGNU PLC",2000,2000,0,2004
"356","Ciba Specialty Chemicals","Switzerland","Ciba Specialty Chemicals Holding",21070,5070,16000,2004
"357","CIBC World Markets","Canada","Canadian Imperial Bank of Commerce",0,0,0,2004
"358","Cooper Industries","Ireland","Cooper Industries Ltd",198000,0,193000,2004
"359","Coral Energy (Royal Dutch/Shell Group of Companies)","Netherlands","Royal Dutch/Shell Group of Companies",0,0,0,2004
"360","Credit Suisse First Boston (Credit Suisse Group)","Switzerland","Credit Suisse Group",379250,143250,236000,2004
"361","DaimlerChrysler (DaimlerChrysler)","Germany","DaimlerChrysler AG",440100,135220,304880,2004
"362","Diageo North America","UK","Diageo PLC",39500,18000,21500,2004
"363","Dial Corp","Germany","Henkel KGaA",28500,9000,19500,2004
"364","DIRECTV Group (News Corporation)","Australia","News Corp",9000,5000,4000,2004
"365","Domnick Hunter Inc","UK","Domnick Hunter Group",1500,0,1500,2004
"366","E ON US","Germany","Eon AG",19500,1000,18500,2004
"367","Essroc Corp","Italy","Italcementi Group",7900,2500,5400,2004
"368","Experian","UK","GUS plc",53250,17000,36250,2004
"369","Farmers Group (Zurich Financial Services)","Switzerland","Zurich Financial Services",36350,3500,32850,2004
"370","First Hawaiian Bank (BNP Paribas)","France","BNP Paribas",0,0,0,2004
"371","Food Lion","Belgium","Delhaize Group",36150,7900,28250,2004
"372","Foster Wheeler","Switzerland","Foster Wheeler PLC",0,0,0,2004
"373","Fresenius Medical Care North America","Germany","Fresenius Medical Care",7500,3000,4500,2004
"374","Gambro BCT (Gambro AB)","Sweden","Gambro AB",4500,0,4500,2004
"375","Gambro Healthcare (Gambro AB)","Sweden","Gambro AB",43500,15000,28500,2004
"376","Genentech Inc (Roche Holdings)","Switzerland","Roche Group",157750,83750,74000,2004
"377","GKN Corp","UK","GKN PLC",4280,0,4280,2004
"378","GlaxoSmithKline","UK","GlaxoSmithKline",744999,224496,520503,2004
"379","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",27500,12750,14750,2004
"380","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",47000,5000,42000,2004
"381","Greyhound Lines","Canada","Laidlaw",30000,14000,16000,2004
"382","Heineken USA (Heineken NV)","Netherlands","Heineken NV",26000,9000,17000,2004
"383","Herbalife International","UK","Herbalife Ltd",53280,22780,30500,2004
"384","Hill & Knowlton (WPP Group)","UK","WPP Group",15000,5750,9250,2004
"385","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",89000,28500,60500,2004
"386","Holcim US","Switzerland","Holcim Ltd",43408,12608,30800,2004
"387","HSBC North America (HSBC Holdings)","UK","HSBC Holdings",566920,214171,352749,2004
"388","HSBC USA (HSBC Holdings)","UK","HSBC Holdings",3100,3000,100,2004
"389","Infineon Technologies","Germany","Infineon Technologies AG",10950,3000,7950,2004
"390","ING US (ING Group)","Netherlands","ING Group",77500,36000,41500,2004
"391","Instinet Corp","UK","Reuters Group",41500,13500,28000,2004
"392","JA Jones Construction","Germany","Philipp Holzmann AG",0,0,0,2004
"393","Jackson National Life Insurance","UK","Prudential PLC",40350,10500,29850,2004
"394","John Hancock Financial Services","Canada","Manulife Financial",59000,38000,21000,2004
"395","Kennecott Energy","UK","Rio Tinto PLC",76200,15500,59700,2004
"396","LaFarge North America","France","Lafarge SA",56000,17000,39000,2004
"397","LaSalle Bank (ABN AMRO)","Netherlands","ABN Amro Holding",108750,61250,47500,2004
"398","Learjet Inc (Bombardier Inc)","Canada","Bombardier Inc",4000,0,4000,2004
"399","Lehigh Cement","Germany","HeidelbergCement AG",22500,3000,19500,2004
"400","Lone Star Industries","Italy","Buzzi Unicem",2500,2500,0,2004
"401","Loral Space & Communications","UK","Loral Space & Communications",82000,62000,20000,2004
"402","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",57675,21500,36175,2004
"403","Massachusetts Financial Services","Canada","Sun Life Financial Services",5000,3000,2000,2004
"404","McDermott International (McDermott International)","Panama","McDermott International",18500,6500,12000,2004
"405","Miller Brewing","UK","SABMiller PLC",68500,29000,39500,2004
"406","MONY Group (AXA)","France","AXA",24500,7500,17000,2004
"407","National Grid USA (National Grid plc)","UK","National Grid plc",77550,30750,46800,2004
"408","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",15000,3000,12000,2004
"409","Nestle USA (Nestle SA)","Switzerland","Nestle",40250,17250,23000,2004
"410","Nestle Waters North America (Nestle SA)","Switzerland","Nestle",600,0,600,2004
"411","News America Publishing (News Corporation)","Australia","News Corp",210500,108000,102500,2004
"412","Norwegian Cruise Line","Malaysia","Genting Group",0,0,0,2004
"413","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",232428,73191,159237,2004
"414","Oldcastle Materials","Ireland","CRH PLC",280107,115700,164407,2004
"415","Organon Inc","Netherlands","Akzo Nobel",0,0,0,2004
"416","PacifiCorp","UK","Scottish Power",6500,1000,5500,2004
"417","Pennsylvania-American Water Co (RWE AG)","Germany","RWE AG",0,0,0,2004
"418","Peter Pan Seafoods","Japan","Nichiro Corp",4500,250,4250,2004
"419","Philips Electronics North America","Netherlands","Philips Electronics",59710,9000,50710,2004
"420","PotashCorp","Canada","Potash Corporation of Saskatchewan",12250,1500,10750,2004
"421","RBC Centura Banks","Canada","Royal Bank of Canada",5250,1250,4000,2004
"422","Reed Elsevier Inc","UK","Reed Elsevier Group",50500,13500,37000,2004
"423","Rolls-Royce North America (Rolls-Royce PLC)","UK","Rolls-Royce International",137000,40000,97000,2004
"424","Roquette America","France","Roquette Freres",0,0,0,2004
"425","Sagem Morpho Inc","France","Sagem SA",-9050,-9050,0,2004
"426","Sanofi-Pasteur Inc (Sanofi-Aventis)","France","Sanofi-Aventis",105300,45000,60300,2004
"427","SAP America","Germany","SAP AG",146250,56500,89750,2004
"428","Schaeffler Group USA","Germany","Schaeffler Group",13000,6000,7000,2004
"429","Securitas Security Services USA","Sweden","Securitas AB",9000,3000,6000,2004
"430","Serono Inc","Switzerland","Serono SA",8500,6000,2500,2004
"431","SES Americom (SES Global)","Luxembourg","SES Global",14500,8000,6500,2004
"432","Shaklee Corp (Yamanouchi Consumer)","Japan","Yamanouchi Pharmaceutical",0,0,0,2004
"433","Shell Oil (Royal Dutch/Shell Group of Companies)","Netherlands","Royal Dutch-Shell",80500,13000,67500,2004
"434","Siemens Corp (Siemens AG)","Germany","Siemans AG",324299,133799,190500,2004
"435","Smith & Nephew","UK","Smith & Nephew Plc",22500,5000,17500,2004
"436","Sodexho Inc","France","Sodexho Alliance",29750,24250,5500,2004
"437","Solvay Pharmaceuticals","Belgium","Solvay SA",21000,3000,18000,2004
"438","Sony Pictures Entertainment (Sony Corp)","Japan","Sony Corp",225500,89000,136500,2004
"439","Standard Federal Bank (ABN AMRO)","Netherlands","ABN Amro Holding",24342,9342,15000,2004
"440","Swedish Match North America","Sweden","Swedish Match AB",32212,-500,32712,2004
"441","Syngenta Corp","Switzerland","Syngenta AG",73200,18000,55200,2004
"442","Syntex (USA) Inc (Roche Holdings)","Switzerland","Roche Holdings",0,0,0,2004
"443","T-Mobile USA","Germany","Deutsche Telekom AG",72000,38500,33500,2004
"444","Teck Cominco American","Canada","Teck Cominco",8000,0,8000,2004
"445","Timex Corp","Netherlands","Timex Group",0,0,0,2004
"446","TOTAL Petrochemicals (TOTAL SA)","France","TOTAL SA",4500,500,4000,2004
"447","Tractebel North America (SUEZ SA)","France","SUEZ SA",27500,12500,15000,2004
"448","Tyco International (Tyco International)","Ireland","Tyco International",78000,15000,63000,2004
"449","UBS Americas","Switzerland","UBS AG",452100,159100,288000,2004
"450","UnionBanCal Corp","Japan","Mitsubishi UFJ Financial Group",8500,7500,1000,2004
"451","United Water (SUEZ SA)","France","SUEZ SA",13000,9500,3500,2004
"452","Universal Music Group (Vivendi Universal)","France","Vivendi Universal",13000,4500,8500,2004
"453","USFilter Corp (Siemens AG)","Germany","Siemens AG",19500,500,19000,2004
"454","VT Halter Marine","Singapore","ST Engineering",9000,2000,7000,2004
"455","Wackenhut Corp","Denmark","Group 4 Securicor",41250,12250,29000,2004
"456","Westfield Corp","Australia","Westfield Group of Australia",33205,24969,6998,2004
"457","Westinghouse Electric (BNFL PLC)","UK","British Nuclear Fuels PLC",10000,2500,7500,2004
"458","Wexler & Walker Public Policy Assoc (WPP Group)","UK","WPP Group",1e+05,30500,69500,2004
"459","XL America","UK","XL Capital",3000,0,3000,2004
"460","Zurich Insurance (Zurich Financial Services)","Switzerland","Zurich Financial Services",195869,59000,135369,2004
"461","7-Eleven","Japan","Seven & I Holdings",0,0,0,2006
"462","ABB Group","Switzerland","Asea Brown Boveri",9250,2250,6500,2006
"463","Accenture (Accenture)","UK","Accenture plc",313380,115680,195700,2006
"464","Accenture (Accenture)","UK","Accenture plc",0,0,0,2006
"465","ACE INA","UK","ACE Ltd",108000,33000,75000,2006
"466","Acuson Corp (Siemens AG)","Germany","Siemens AG",0,0,0,2006
"467","AEGON USA","Netherlands","Aegon NV",153500,58000,94000,2006
"468","Agrium US","Canada","Agrium Inc",0,0,0,2006
"469","AIM Management Group","UK","AMVESCAP",32000,12500,19500,2006
"470","Air Liquide America","France","L'Air Liquide SA",4000,2000,2000,2006
"471","Alcatel-Lucent Holding (Alcatel-Lucent)","France","Alcatel-Lucent",68000,25000,43000,2006
"472","Alcatel-Lucent Holding (Alcatel-Lucent)","France","Alcatel-Lucent",20000,8000,12000,2006
"473","Alcon Laboratories (Nestle SA)","Switzerland","Nestle",40826,3500,37326,2006
"474","Allianz of America (Allianz)","Germany","Allianz AG Holding",119650,38100,80550,2006
"475","Allied Domecq Spirits & Wine (Pernod Ricard)","France","Pernod Ricard SA",17575,3515,14060,2006
"476","American Medical Response","Canada","Onex Corp",15750,2500,11250,2006
"477","American Water Works Co (RWE AG)","Germany","RWE AG",0,0,0,2006
"478","APL Ltd","Singapore","Neptune Orient Lines Ltd",31000,13500,17500,2006
"479","Arcadis G&M","Netherlands","Arcadis NV",46800,11000,35800,2006
"480","AREVA Inc","France","Areva Group",95500,32000,58500,2006
"481","Arkema Inc","France","Arkema",19000,2000,17000,2006
"482","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca",384320,105820,276500,2006
"483","Austin, Nichols & Co (Pernod Ricard)","France","Pernod Ricard SA",6000,2000,4000,2006
"484","Aviva USA","UK","Aviva PLC",2000,2000,0,2006
"485","AXA Equitable Life Insurance (AXA)","France","AXA",115000,49000,66000,2006
"486","Babcock & Wilcox (McDermott International)","Panama","McDermott International",30000,4000,26000,2006
"487","Bacardi USA","UK","Bacardi Ltd",14990,3490,9500,2006
"488","BAE Systems (BAE Systems)","UK","BAE Systems",499499,189500,301999,2006
"489","BAE Systems Information Technology (BAE Systems)","UK","BAE Systems",0,0,0,2006
"490","BAE Systems Land & Armaments (BAE Systems)","UK","BAE Systems",295500,79000,214500,2006
"491","Ballard Power Systems","Canada","Ballard Power Systems",2000,2000,0,2006
"492","BancWest Corp (BNP Paribas)","France","BNP Paribas",5500,2500,3000,2006
"493","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",59000,24000,34000,2006
"494","BASF Corp","Germany","BASF Group",151000,17000,133000,2006
"495","Bayer Corp","Germany","Bayer AG",255000,52500,198500,2006
"496","BOC Group","UK","BOC Group",0,0,0,2006
"497","Boehringer Ingelheim Corp","Germany","CH Boehringer Sohn",16800,4300,11500,2006
"498","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",9850,5500,4350,2006
"499","BP North America","UK","BP PLC",219500,75000,142500,2006
"500","Bridgestone Americas","Japan","Bridgestone Corp",108750,39000,69750,2006
"501","Burson-Marsteller (WPP Group)","UK","WPP Group",65500,27500,36500,2006
"502","Buzzi Unicem USA","Italy","Buzzi Unicem SpA",15000,3500,11500,2006
"503","BWX Technologies (McDermott International)","Panama","McDermott International",153500,37000,114500,2006
"504","California Portland Cement Co","Japan","Taiheiyo Cement Co",38860,4360,34500,2006
"505","Case New Holland","Italy","Fiat SPA",44500,7500,37000,2006
"506","CGI-AMS","Canada","CGI Group",0,0,0,2006
"507","CGU Corp","UK","CGNU PLC",6500,6500,0,2006
"508","Ciba Specialty Chemicals","Switzerland","Ciba Specialty Chemicals Holding",18000,5000,13000,2006
"509","CIBC World Markets","Canada","Canadian Imperial Bank of Commerce",0,0,0,2006
"510","Cooper Industries","Ireland","Cooper Industries Ltd",145000,4500,140500,2006
"511","Credit Suisse Securities","Switzerland","Credit Suisse Group",508860,242860,261000,2006
"512","DaimlerChrysler (DaimlerChrysler)","Germany","DaimlerChrysler AG",416090,140590,273500,2006
"513","Deutsche Bank Securities","Germany","Deutsche Bank AG",0,0,0,2006
"514","DHL (Deutsche Post AG)","Germany","Deutsche Post AG",0,0,0,2006
"515","Diageo North America","UK","Diageo PLC",64000,19500,34500,2006
"516","Dial Corp","Germany","Henkel KGaA",22750,6000,16750,2006
"517","E ON US","Germany","Eon AG",19000,3000,16000,2006
"518","EADS North America","Netherlands","European Aeronautic Defence & Space Co",31900,9000,20800,2006
"519","EmCare Inc","Canada","Onex Corp",0,0,0,2006
"520","Essroc Corp","Italy","Italcementi Group",3500,1000,2500,2006
"521","Experian","UK","Experian",191353,77753,112600,2006
"522","Farmers Group (Zurich Financial Services)","Switzerland","Zurich Financial Services",123500,23000,99500,2006
"523","Food Lion","Belgium","Delhaize Group",21250,4500,16750,2006
"524","Foster Wheeler","Switzerland","Foster Wheeler PLC",17550,300,17250,2006
"525","Fresenius Medical Care North America","Germany","Fresenius Medical Care",74500,28700,45800,2006
"526","GDF Suez Energy North America (SUEZ SA)","France","SUEZ SA",83008,23000,60008,2006
"527","Genentech Inc (Roche Holdings)","Switzerland","Roche Group",201500,76500,115000,2006
"528","GKN Corp","UK","GKN PLC",6000,0,6000,2006
"529","GlaxoSmithKline","UK","GlaxoSmithKline",891413,256686,623727,2006
"530","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",34032,14657,19375,2006
"531","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",34500,9000,25500,2006
"532","Greyhound Lines","Canada","Laidlaw",27000,16000,11000,2006
"533","Heineken USA (Heineken NV)","Netherlands","Heineken NV",69500,36500,30500,2006
"534","Herbalife International","UK","Herbalife Ltd",99894,48144,51750,2006
"535","Hill & Knowlton (WPP Group)","UK","WPP Group",8750,4000,4750,2006
"536","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",180900,69000,111900,2006
"537","Holcim US","Switzerland","Holcim Ltd",52000,20000,32000,2006
"538","HSBC North America","UK","HSBC Holdings",663210,239450,413760,2006
"539","Hudson United Bancorp (Toronto-Dominion Bank)","Canada","Toronto-Dominion Bank",500,500,0,2006
"540","Infineon Technologies","Germany","Infineon Technologies AG",8500,3400,4100,2006
"541","ING US (ING Group)","Netherlands","ING Group",80500,34500,42000,2006
"542","Intelsat Holdings","Luxembourg","Intelsat SA",15500,11000,4500,2006
"543","Intermagnetics General Corp (Philips Electronics)","Netherlands","Philips Electronics",28100,17100,11000,2006
"544","JA Jones Construction","Germany","Philipp Holzmann AG",0,0,0,2006
"545","Jackson National Life Insurance","UK","Prudential PLC",48500,8500,40000,2006
"546","John Hancock Financial Services","Canada","Manulife Financial",50880,31380,18500,2006
"547","Kennecott Energy","UK","Rio Tinto PLC",66000,10500,55500,2006
"548","LaFarge North America (Lafarge SA)","France","Lafarge SA",55500,23000,32500,2006
"549","LaFarge North America (Lafarge SA)","France","Lafarge SA",0,0,0,2006
"550","LaSalle Bank","Netherlands","ABN Amro Holding",90250,48000,42250,2006
"551","Learjet Inc (Bombardier Inc)","Canada","Bombardier Inc",1000,0,1000,2006
"552","Lehigh Cement","Germany","HeidelbergCement AG",18500,3000,15500,2006
"553","Lone Star Industries","Italy","Buzzi Unicem",1000,0,1000,2006
"554","Loral Space & Communications","UK","Loral Space & Communications",31482,21482,10000,2006
"555","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",71500,15500,56000,2006
"556","Massachusetts Financial Services (Sun Life Financial)","Canada","Sun Life Financial Services",11000,5000,6000,2006
"557","McDermott International (McDermott International)","Panama","McDermott International",15500,3000,12500,2006
"558","Metro-Goldwyn-Mayer (Sony Corp)","Japan","Sony Corp",5200,1000,4200,2006
"559","Miller Brewing","UK","SABMiller PLC",112000,37500,74500,2006
"560","MONY Group (AXA)","France","AXA",0,0,0,2006
"561","National Grid USA (National Grid plc)","UK","National Grid plc",102750,39250,63000,2006
